,Date,SPG_High_Prices,SPG_Low_Prices,SPG_Closed_Prices
661,2020-07-23,27.7017,25.78,26.78
662,2020-07-22,26.82,26.11,26.25
663,2020-07-21,26.95,26.35,26.43
664,2020-07-20,27.42,26.03,26.22
665,2020-07-17,27.73,26.94,27.05
666,2020-07-16,27.95,27.04,27.26
667,2020-07-15,28.88,26.92,28.6
668,2020-07-14,26.75,25.46,26.11
669,2020-07-13,27.62,26.31,26.82
670,2020-07-10,27.26,25.15,27.09
671,2020-07-09,26.92,25.22,25.65
672,2020-07-08,27.28,26.2,27.01
673,2020-07-07,27.95,26.86,27.01
674,2020-07-06,28.63,27.28,28.44
675,2020-07-02,28.73,27.6,27.72
676,2020-07-01,29.85,27.49,27.7
677,2020-06-30,28.66,27.6,28.05
678,2020-06-29,28.82,26.58,28.61
679,2020-06-26,28.1,26.24,26.91
680,2020-06-25,28.16,26.27,28.01
681,2020-06-24,28.99,26.93,27.34
682,2020-06-23,29.65,28.73,29.64
683,2020-06-22,29.84,28.56,29.31
684,2020-06-19,31.52,29.02,29.51
685,2020-06-18,31.15,29.6,30.79
686,2020-06-17,31.16,30.08,30.72
687,2020-06-16,33.02,30.61,31.3
688,2020-06-15,30.97,28.0,30.46
689,2020-06-12,30.74,28.75,30.43
690,2020-06-11,29.57,26.6,27.2
691,2020-06-10,32.99,29.76,31.64
692,2020-06-09,34.73,32.65,34.17
693,2020-06-08,37.08,35.38,36.97
694,2020-06-05,37.24,33.45,34.16
695,2020-06-04,32.81,29.22,32.38
