,Date,DAL_High_Prices,DAL_Low_Prices,DAL_Closed_Prices
510,2021-03-01,117.85,113.84,113.92
511,2021-02-26,116.46,111.26,112.92
512,2021-02-25,121.3099,113.65,114.82
513,2021-02-24,121.13,114.5,119.0
514,2021-02-23,115.935,110.06,115.12
515,2021-02-22,115.3299,108.93,112.77
516,2021-02-19,109.93,106.7,109.43
517,2021-02-18,108.6418,105.7238,106.52
518,2021-02-17,110.49,107.1,108.23
519,2021-02-16,111.42,108.63,109.98
520,2021-02-12,110.6364,107.71,109.26
521,2021-02-11,111.4223,107.25,109.27
522,2021-02-10,108.65,103.1,106.22
523,2021-02-09,105.0143,101.35,102.55
524,2021-02-08,99.47,96.6604,98.94
525,2021-02-05,97.9,95.92,96.75
526,2021-02-04,96.24,93.38,95.16
527,2021-02-03,93.75,91.02,93.38
528,2021-02-02,94.11,91.36,92.46
529,2021-02-01,93.6,90.56,92.94
530,2021-01-29,97.829,92.11,92.93
531,2021-01-28,99.03,96.689,97.51
532,2021-01-27,103.5,96.09,96.64
533,2021-01-26,99.66,96.64,99.05
534,2021-01-25,100.17,94.0,97.48
535,2021-01-22,96.0,92.05,95.49
536,2021-01-21,95.76,93.7,94.51
537,2021-01-20,96.01,92.02,95.29
538,2021-01-19,93.78,90.74,92.67
539,2021-01-15,94.24,92.33,93.0
540,2021-01-14,95.7457,89.31,94.95
541,2021-01-13,89.28,85.4,88.87
542,2021-01-12,85.99,83.21,85.43
543,2021-01-11,85.6,82.85,83.14
544,2021-01-08,86.5,83.7001,86.49
545,2021-01-07,87.24,84.51,85.13
546,2021-01-06,86.48,83.75,85.07
547,2021-01-05,84.315,82.93,83.17
548,2021-01-04,86.24,82.06,82.81
549,2020-12-31,85.35,82.3573,85.28
550,2020-12-30,85.55,83.21,83.97
551,2020-12-29,86.57,82.942,83.29
552,2020-12-28,86.15,84.51,85.48
553,2020-12-24,84.59,83.05,84.37
554,2020-12-23,85.25,83.21,83.65
555,2020-12-22,85.56,82.02,83.72
556,2020-12-21,84.5,82.25,83.65
557,2020-12-18,89.07,84.92,85.43
558,2020-12-17,89.23,87.49,89.03
559,2020-12-16,90.3,88.13,88.28
560,2020-12-15,89.76,87.221,89.74
561,2020-12-14,90.18,86.7556,87.32
562,2020-12-11,89.93,86.29,87.9
563,2020-12-10,90.96,89.08,90.44
564,2020-12-09,92.16,89.19,90.84
565,2020-12-08,91.9488,88.5,90.11
566,2020-12-07,93.8,89.0,89.37
567,2020-12-04,94.3596,90.7075,93.91
568,2020-12-03,91.7,87.29,89.63
569,2020-12-02,87.99,82.6,87.25
570,2020-12-01,86.29,83.89,84.99
571,2020-11-30,86.9,82.4,82.57
572,2020-11-27,88.6,85.53,85.55
573,2020-11-25,88.88,86.3001,87.19
574,2020-11-24,91.37,88.4211,88.79
575,2020-11-23,86.3,82.3,85.41
576,2020-11-20,81.7898,79.26,81.12
577,2020-11-19,81.33,75.49,80.63
578,2020-11-18,81.0408,76.6,76.61
579,2020-11-17,81.33,76.98,78.96
580,2020-11-16,82.42,78.85,78.96
581,2020-11-13,75.1493,70.8,74.7
582,2020-11-12,72.63,68.01,69.14
583,2020-11-11,78.5,72.52,73.41
584,2020-11-10,84.49,75.31,78.84
585,2020-11-09,82.5,73.1,79.1
586,2020-11-06,64.83,61.64,61.86
587,2020-11-05,64.1,62.455,63.47
588,2020-11-04,64.91,62.12,62.28
589,2020-11-03,66.0,64.4,64.99
590,2020-11-02,64.88,62.59,64.71
591,2020-10-30,63.62,60.83,62.81
592,2020-10-29,64.11,60.17,63.41
593,2020-10-28,61.63,59.35,60.76
594,2020-10-27,64.58,61.95,61.98
595,2020-10-26,66.1,63.87,64.68
596,2020-10-23,67.8,65.9221,66.88
597,2020-10-22,66.54,63.9,66.35
598,2020-10-21,65.01,63.34,64.21
599,2020-10-20,66.08,64.43,64.46
600,2020-10-19,65.35,63.84,63.91
601,2020-10-16,65.7012,64.15,64.82
602,2020-10-15,66.52,64.59,65.12
603,2020-10-14,66.54,65.26,65.72
604,2020-10-13,67.33,65.47,65.82
605,2020-10-12,68.11,66.7,68.02
606,2020-10-09,70.3457,67.51,67.72
607,2020-10-08,71.23,69.4,70.07
608,2020-10-07,72.16,69.8,71.03
609,2020-10-06,72.63,69.01,69.98
610,2020-10-05,69.33,67.42,68.76
611,2020-10-02,68.5,64.05,68.2
612,2020-10-01,66.56,64.25,66.53
613,2020-09-30,66.12,63.7,64.68
614,2020-09-29,65.34,62.9,63.99
615,2020-09-28,66.535,64.8,65.79
616,2020-09-25,63.93,62.0,63.58
617,2020-09-24,64.16,59.6,62.83
618,2020-09-23,66.8,62.72,62.89
619,2020-09-22,67.07,64.75,65.11
620,2020-09-21,67.22,64.3525,64.87
621,2020-09-18,71.9,69.59,69.83
